"Type","Ticker","Contracts","Direction","Average_Price","Realized_Revenue","Realized_Cost","Realized_Profit","Fees","Created"
"trade","KXMARMAD-25R64G14-UNCW","100","No","79","$100.00","$95.79","+$4.21","$0.25","Mar 21, 2025 at 12:23AM EDT"
"trade","KXMARMAD-25R64G14-UNCW","200","Yes","17","0.00","0.00","$0.00","$1.98","Mar 21, 2025 at 12:24AM EDT"
"trade","KXMARMAD-25R64G14-UNCW","4","No","78","$4.00","$3.80","+$0.20","$0.01","Mar 21, 2025 at 12:26AM EDT"
"trade","KXMARMAD-25R64G14-UNCW","196","No","78","$196.00","$186.20","+$9.80","$0.49","Mar 21, 2025 at 12:26AM EDT"
"trade","KXMARMAD-25R64G14-UNCW","55","Yes","10","0.00","0.00","$0.00","$0.14","Mar 21, 2025 at 12:28AM EDT"
"trade","KXMARMAD-25R64G14-UNCW","145","Yes","10","0.00","0.00","$0.00","$0.37","Mar 21, 2025 at 12:28AM EDT"
"trade","KXMARMAD-25R64G14-UNCW","10","No","87","$10.00","$9.70","+$0.30","$0.03","Mar 21, 2025 at 12:28AM EDT"
"trade","KXMARMAD-25R64G14-UNCW","100","No","87","$100.00","$97.00","+$3.00","$0.25","Mar 21, 2025 at 12:28AM EDT"
"trade","KXMARMAD-25R64G14-UNCW","90","No","87","$90.00","$87.30","+$2.70","$0.23","Mar 21, 2025 at 12:28AM EDT"
"trade","KXMARMAD-25R64G14-UNCW","10","Yes","4","0.00","0.00","$0.00","$0.03","Mar 21, 2025 at 12:40AM EDT"
"trade","KXMARMAD-25R64G14-UNCW","25","Yes","4","0.00","0.00","$0.00","$0.07","Mar 21, 2025 at 12:41AM EDT"
"trade","KXMARMAD-25R64G14-UNCW","20","Yes","4","0.00","0.00","$0.00","$0.05","Mar 21, 2025 at 12:41AM EDT"
"trade","KXMARMAD-25R64G14-UNCW","45","Yes","4","0.00","0.00","$0.00","$0.12","Mar 21, 2025 at 12:41AM EDT"
"settlement","KXMARMAD-25R64G14-UNCW","100","Yes","4","0.00","$4.00","-$4.00","0.00","Mar 21, 2025 at 12:58AM EDT"
"trade","KXMARMAD-25R32G13-HOU","30","Yes","65","0.00","0.00","$0.00","$0.08","Mar 21, 2025 at 1:00AM EDT"
"trade","KXMARMAD-25R32G13-HOU","20","Yes","65","0.00","0.00","$0.00","$0.05","Mar 21, 2025 at 1:01AM EDT"
"trade","KXMARMAD-25R32G13-HOU","1","No","33","$1.00","$1.00","$0.00","$0.01","Mar 21, 2025 at 1:20AM EDT"
"trade","KXMARMAD-25R32G13-HOU","99","No","33","$99.00","$98.00","+$1.00","$0.25","Mar 21, 2025 at 1:22AM EDT"
"trade","KXMARMAD-25R32G13-HOU","60","Yes","65","0.00","0.00","$0.00","$0.15","Mar 21, 2025 at 8:03AM EDT"
"trade","KXMARMAD-25R32G13-HOU","1","Yes","65","0.00","0.00","$0.00","$0.01","Mar 21, 2025 at 8:03AM EDT"
"trade","KXMARMAD-25R32G13-HOU","5","Yes","65","0.00","0.00","$0.00","$0.02","Mar 21, 2025 at 8:05AM EDT"
"trade","KXMARMAD-25R32G13-HOU","34","Yes","65","0.00","0.00","$0.00","$0.09","Mar 21, 2025 at 8:07AM EDT"
"trade","KXMARMAD-25R64G18-MSST","50","Yes","45","0.00","0.00","$0.00","$0.13","Mar 21, 2025 at 12:24PM EDT"
"trade","KXMARMAD-25R64G18-MSST","50","No","51","$50.00","$48.00","+$2.00","$0.13","Mar 21, 2025 at 12:24PM EDT"
"trade","KXMARMAD-25R64G18-MSST","48","Yes","52","0.00","0.00","$0.00","$0.12","Mar 21, 2025 at 12:38PM EDT"
"trade","KXMARMAD-25R64G18-MSST","52","Yes","52","0.00","0.00","$0.00","$0.13","Mar 21, 2025 at 12:39PM EDT"
"trade","KXMARMAD-25R64G18-MSST","32","Yes","41","0.00","0.00","$0.00","$0.08","Mar 21, 2025 at 12:44PM EDT"
"trade","KXMARMAD-25R64G18-MSST","68","Yes","41","0.00","0.00","$0.00","$0.17","Mar 21, 2025 at 12:44PM EDT"
"trade","KXMARMAD-25R64G18-MSST","2","No","51","$2.00","$2.06","-$0.06","$0.01","Mar 21, 2025 at 12:57PM EDT"
"trade","KXMARMAD-25R64G18-MSST","198","No","51","$198.00","$192.94","+$5.06","$0.50","Mar 21, 2025 at 12:57PM EDT"
"trade","KXMARMAD-25R64G18-BAY","50","Yes","56","0.00","0.00","$0.00","$0.13","Mar 21, 2025 at 1:06PM EDT"
"trade","KXMARMAD-25R64G18-BAY","50","No","40","$50.00","$48.00","+$2.00","$0.13","Mar 21, 2025 at 1:08PM EDT"
"trade","KXMARMAD-25R64G24-RMU","100","Yes","5","0.00","0.00","$0.00","$0.25","Mar 21, 2025 at 1:14PM EDT"
"trade","KXMARMAD-25R64G24-RMU","100","No","93","$100.00","$98.00","+$2.00","$0.25","Mar 21, 2025 at 1:18PM EDT"
"trade","KXMARMAD-25R64G24-RMU","23","Yes","7","0.00","0.00","$0.00","$0.06","Mar 21, 2025 at 1:32PM EDT"
"trade","KXMARMAD-25R64G24-RMU","22","Yes","7","0.00","0.00","$0.00","$0.06","Mar 21, 2025 at 1:32PM EDT"
"trade","KXMARMAD-25R64G24-RMU","55","Yes","7","0.00","0.00","$0.00","$0.14","Mar 21, 2025 at 1:32PM EDT"
"trade","KXMARMAD-25R64G24-RMU","50","Yes","7","0.00","0.00","$0.00","$0.13","Mar 21, 2025 at 1:33PM EDT"
"trade","KXMARMAD-25R64G24-RMU","40","Yes","7","0.00","0.00","$0.00","$0.10","Mar 21, 2025 at 1:33PM EDT"
"trade","KXMARMAD-25R64G24-RMU","10","Yes","7","0.00","0.00","$0.00","$0.03","Mar 21, 2025 at 1:34PM EDT"
"trade","KXMARMAD-25R64G6-LIP","100","Yes","8","0.00","0.00","$0.00","$0.25","Mar 21, 2025 at 1:49PM EDT"
"trade","KXMARMAD-25R64G6-LIP","100","Yes","4","0.00","0.00","$0.00","$0.25","Mar 21, 2025 at 1:52PM EDT"
"trade","KXMARMAD-25R64G6-LIP","200","No","95","$200.00","$202.00","-$2.00","$0.50","Mar 21, 2025 at 1:53PM EDT"
"trade","KXMARMAD-25R64G18-BAY","6","Yes","88","0.00","0.00","$0.00","$0.02","Mar 21, 2025 at 1:54PM EDT"
"trade","KXMARMAD-25R64G18-BAY","44","Yes","88","0.00","0.00","$0.00","$0.11","Mar 21, 2025 at 1:54PM EDT"
"trade","KXMARMAD-25R64G24-RMU","85","Yes","7","0.00","0.00","$0.00","$0.22","Mar 21, 2025 at 1:58PM EDT"
"trade","KXMARMAD-25R64G24-RMU","20","No","96","$20.00","$20.60","-$0.60","$0.05","Mar 21, 2025 at 2:08PM EDT"
"trade","KXMARMAD-25R64G24-RMU","250","No","96","$250.00","$257.50","-$7.50","$0.63","Mar 21, 2025 at 2:08PM EDT"
"trade","KXMARMAD-25R64G24-RMU","15","No","96","$15.00","$15.45","-$0.45","$0.04","Mar 21, 2025 at 2:09PM EDT"
"trade","KXMARMAD-25R64G24-RMU","50","Yes","8","0.00","0.00","$0.00","$0.13","Mar 21, 2025 at 2:16PM EDT"
"trade","KXMARMAD-25R64G24-RMU","150","Yes","8","0.00","0.00","$0.00","$0.38","Mar 21, 2025 at 2:16PM EDT"
"trade","KXMARMAD-25R64G24-RMU","200","No","89","$200.00","$194.00","+$6.00","$1.38","Mar 21, 2025 at 2:17PM EDT"
"trade","KXMARMAD-25R64G18-BAY","50","No","8","$50.00","$48.00","+$2.00","$0.13","Mar 21, 2025 at 2:27PM EDT"
"trade","KXMARMAD-25R64G24-RMU","100","Yes","18","0.00","0.00","$0.00","$0.25","Mar 21, 2025 at 2:27PM EDT"
"trade","KXMARMAD-25R64G24-RMU","100","Yes","9","0.00","0.00","$0.00","$0.25","Mar 21, 2025 at 2:29PM EDT"
"trade","KXMARMAD-25R64G24-RMU","100","Yes","7","0.00","0.00","$0.00","$0.25","Mar 21, 2025 at 2:30PM EDT"
"trade","KXMARMAD-25R64G24-RMU","50","No","86","$50.00","$52.00","-$2.00","$0.13","Mar 21, 2025 at 2:30PM EDT"
"trade","KXMARMAD-25R64G24-RMU","100","No","86","$100.00","$99.50","+$0.50","$0.25","Mar 21, 2025 at 2:30PM EDT"
"trade","KXMARMAD-25R64G24-RMU","15","No","86","$15.00","$14.25","+$0.75","$0.04","Mar 21, 2025 at 2:30PM EDT"
"trade","KXMARMAD-25R64G24-RMU","10","No","86","$10.00","$9.50","+$0.50","$0.03","Mar 21, 2025 at 2:30PM EDT"
"trade","KXMARMAD-25R64G24-RMU","125","No","86","$125.00","$116.75","+$8.25","$0.32","Mar 21, 2025 at 2:30PM EDT"
"trade","KXMARMAD-25R64G24-RMU","15","Yes","10","0.00","0.00","$0.00","$0.04","Mar 21, 2025 at 2:31PM EDT"
"trade","KXMARMAD-25R64G24-RMU","185","Yes","10","0.00","0.00","$0.00","$0.47","Mar 21, 2025 at 2:31PM EDT"
"trade","KXMARMAD-25R64G24-RMU","200","No","88","$200.00","$196.00","+$4.00","$0.50","Mar 21, 2025 at 2:31PM EDT"
"trade","KXMARMAD-25R64G24-RMU","368","Yes","9","0.00","0.00","$0.00","$0.92","Mar 21, 2025 at 2:32PM EDT"
"trade","KXMARMAD-25R64G24-RMU","10","Yes","9","0.00","0.00","$0.00","$0.03","Mar 21, 2025 at 2:32PM EDT"
"trade","KXMARMAD-25R64G24-RMU","22","Yes","9","0.00","0.00","$0.00","$0.06","Mar 21, 2025 at 2:32PM EDT"
"trade","KXMARMAD-25R64G24-RMU","10","No","87","$10.00","$9.60","+$0.40","$0.03","Mar 21, 2025 at 2:32PM EDT"
"trade","KXMARMAD-25R64G24-RMU","3","No","87","$3.00","$2.88","+$0.12","$0.01","Mar 21, 2025 at 2:32PM EDT"
"trade","KXMARMAD-25R64G24-RMU","72","No","87","$72.00","$69.12","+$2.88","$0.18","Mar 21, 2025 at 2:32PM EDT"
"trade","KXMARMAD-25R64G24-RMU","21","No","87","$21.00","$20.16","+$0.84","$0.06","Mar 21, 2025 at 2:33PM EDT"
"trade","KXMARMAD-25R64G24-RMU","50","Yes","6","0.00","0.00","$0.00","$0.13","Mar 21, 2025 at 2:34PM EDT"
"trade","KXMARMAD-25R64G24-RMU","50","Yes","6","0.00","0.00","$0.00","$0.13","Mar 21, 2025 at 2:34PM EDT"
"trade","KXMARMAD-25R64G24-RMU","26","No","90","$26.00","$25.74","+$0.26","$0.07","Mar 21, 2025 at 2:35PM EDT"
"trade","KXMARMAD-25R64G24-RMU","50","No","90","$50.00","$49.50","+$0.50","$0.13","Mar 21, 2025 at 2:35PM EDT"
"trade","KXMARMAD-25R64G24-RMU","5","No","90","$5.00","$4.95","+$0.05","$0.02","Mar 21, 2025 at 2:35PM EDT"
"trade","KXMARMAD-25R64G24-RMU","20","No","90","$20.00","$19.80","+$0.20","$0.05","Mar 21, 2025 at 2:35PM EDT"
"trade","KXMARMAD-25R64G24-RMU","100","No","90","$100.00","$99.00","+$1.00","$0.25","Mar 21, 2025 at 2:35PM EDT"
"trade","KXMARMAD-25R64G24-RMU","45","Yes","5","0.00","0.00","$0.00","$0.12","Mar 21, 2025 at 2:35PM EDT"
"trade","KXMARMAD-25R64G24-RMU","84","Yes","5","0.00","0.00","$0.00","$0.21","Mar 21, 2025 at 2:35PM EDT"
"trade","KXMARMAD-25R64G24-RMU","20","Yes","5","0.00","0.00","$0.00","$0.05","Mar 21, 2025 at 2:35PM EDT"
"trade","KXMARMAD-25R64G24-RMU","3","Yes","5","0.00","0.00","$0.00","$0.01","Mar 21, 2025 at 2:35PM EDT"
"trade","KXMARMAD-25R64G24-RMU","30","Yes","5","0.00","0.00","$0.00","$0.08","Mar 21, 2025 at 2:35PM EDT"
"trade","KXMARMAD-25R64G24-RMU","18","Yes","5","0.00","0.00","$0.00","$0.05","Mar 21, 2025 at 2:35PM EDT"
"trade","KXMARMAD-25R64G24-RMU","121","No","92","$121.00","$121.37","-$0.37","$0.31","Mar 21, 2025 at 2:35PM EDT"
"trade","KXMARMAD-25R64G24-RMU","5","No","92","$5.00","$4.90","+$0.10","$0.02","Mar 21, 2025 at 2:35PM EDT"
"trade","KXMARMAD-25R64G24-RMU","21","No","92","$21.00","$20.58","+$0.42","$0.06","Mar 21, 2025 at 2:35PM EDT"
"trade","KXMARMAD-25R64G24-RMU","132","No","91","$132.00","$127.18","+$4.82","$0.33","Mar 21, 2025 at 2:36PM EDT"
"trade","KXMARMAD-25R64G24-RMU","66","No","91","$66.00","$63.36","+$2.64","$0.17","Mar 21, 2025 at 2:37PM EDT"
"trade","KXMARMAD-25R64G24-RMU","40","Yes","5","0.00","0.00","$0.00","$0.10","Mar 21, 2025 at 2:37PM EDT"
"trade","KXMARMAD-25R64G24-RMU","360","Yes","5","0.00","0.00","$0.00","$0.90","Mar 21, 2025 at 2:37PM EDT"
"trade","KXMARMAD-25R64G24-RMU","448","No","99","$448.00","$465.92","-$17.92","$0.32","Mar 21, 2025 at 2:44PM EDT"
"trade","KXMARMAD-25R64G11-MEM","88","Yes","49","0.00","0.00","$0.00","$0.22","Mar 21, 2025 at 2:45PM EDT"
"trade","KXMARMAD-25R64G11-MEM","12","Yes","49","0.00","0.00","$0.00","$0.03","Mar 21, 2025 at 2:46PM EDT"
"trade","KXMARMAD-25R64G11-MEM","100","No","48","$100.00","$97.00","+$3.00","$0.25","Mar 21, 2025 at 2:46PM EDT"
"trade","KXMARMAD-25R64G11-CSU","35","No","52","0.00","0.00","$0.00","$0.09","Mar 21, 2025 at 2:46PM EDT"
"trade","KXMARMAD-25R64G11-CSU","10","No","52","0.00","0.00","$0.00","$0.03","Mar 21, 2025 at 2:46PM EDT"
"trade","KXMARMAD-25R64G11-CSU","10","No","52","0.00","0.00","$0.00","$0.03","Mar 21, 2025 at 2:46PM EDT"
"trade","KXMARMAD-25R64G11-CSU","45","No","52","0.00","0.00","$0.00","$0.12","Mar 21, 2025 at 2:46PM EDT"
"trade","KXMARMAD-25R64G11-MEM","50","No","44","0.00","0.00","$0.00","$0.13","Mar 21, 2025 at 2:47PM EDT"
"trade","KXMARMAD-25R64G11-MEM","50","No","44","0.00","0.00","$0.00","$0.13","Mar 21, 2025 at 2:47PM EDT"
"trade","KXMARMAD-25R64G11-MEM","100","No","39","0.00","0.00","$0.00","$0.25","Mar 21, 2025 at 2:49PM EDT"
"trade","KXMARMAD-25R64G11-CSU","10","No","59","0.00","0.00","$0.00","$0.03","Mar 21, 2025 at 2:49PM EDT"
"trade","KXMARMAD-25R64G11-CSU","35","No","59","0.00","0.00","$0.00","$0.09","Mar 21, 2025 at 2:49PM EDT"
"trade","KXMARMAD-25R64G11-CSU","2","No","59","0.00","0.00","$0.00","$0.01","Mar 21, 2025 at 2:49PM EDT"
"trade","KXMARMAD-25R64G11-CSU","53","No","59","0.00","0.00","$0.00","$0.14","Mar 21, 2025 at 2:49PM EDT"
"trade","KXMARMAD-25R64G11-MEM","100","No","36","0.00","0.00","$0.00","$0.25","Mar 21, 2025 at 2:49PM EDT"
"trade","KXMARMAD-25R64G11-CSU","30","No","60","0.00","0.00","$0.00","$0.08","Mar 21, 2025 at 2:50PM EDT"
"trade","KXMARMAD-25R64G11-CSU","70","No","60","0.00","0.00","$0.00","$0.18","Mar 21, 2025 at 2:50PM EDT"
"trade","KXMARMAD-25R64G11-CSU","300","Yes","38","$300.00","$285.00","+$15.00","$4.95","Mar 21, 2025 at 3:00PM EDT"
"trade","KXMARMAD-25R64G11-MEM","300","Yes","63","$300.00","$308.00","-$8.00","$4.90","Mar 21, 2025 at 3:00PM EDT"
"trade","KXMARMAD-25R64G11-CSU","50","Yes","34","0.00","0.00","$0.00","$0.13","Mar 21, 2025 at 3:25PM EDT"
"trade","KXMARMAD-25R64G11-CSU","50","No","60","$50.00","$47.00","+$3.00","$0.84","Mar 21, 2025 at 3:25PM EDT"
"trade","KXMARMAD-25R64G11-CSU","50","Yes","41","0.00","0.00","$0.00","$0.13","Mar 21, 2025 at 3:26PM EDT"
"trade","KXMARMAD-25R64G11-CSU","50","No","57","$50.00","$49.00","+$1.00","$0.13","Mar 21, 2025 at 3:26PM EDT"
"trade","KXMARMAD-25R64G11-CSU","10","Yes","65","0.00","0.00","$0.00","$0.03","Mar 21, 2025 at 3:36PM EDT"
"trade","KXMARMAD-25R64G11-CSU","10","Yes","65","0.00","0.00","$0.00","$0.03","Mar 21, 2025 at 3:36PM EDT"
"trade","KXMARMAD-25R64G11-CSU","20","No","30","$20.00","$19.00","+$1.00","$0.30","Mar 21, 2025 at 3:37PM EDT"
"trade","KXMARMAD-25R64G23-SMC","35","Yes","55","0.00","0.00","$0.00","$0.09","Mar 21, 2025 at 3:54PM EDT"
"trade","KXMARMAD-25R64G23-SMC","15","Yes","55","0.00","0.00","$0.00","$0.04","Mar 21, 2025 at 3:54PM EDT"
"trade","KXMARMAD-25R64G23-SMC","50","Yes","52","0.00","0.00","$0.00","$0.13","Mar 21, 2025 at 3:55PM EDT"
"trade","KXMARMAD-25R64G23-SMC","200","No","63","$200.00","$242.50","-$42.50","$0.50","Mar 21, 2025 at 4:15PM EDT"
"trade","KXMARMAD-25R64G23-VAN","5","Yes","63","0.00","0.00","$0.00","$0.02","Mar 21, 2025 at 4:16PM EDT"
"trade","KXMARMAD-25R64G23-VAN","5","Yes","63","0.00","0.00","$0.00","$0.02","Mar 21, 2025 at 4:16PM EDT"
"trade","KXMARMAD-25R64G23-VAN","90","Yes","68","0.00","0.00","$0.00","$0.23","Mar 21, 2025 at 4:18PM EDT"
"trade","KXMARMAD-25R64G23-VAN","100","No","36","$100.00","$103.50","-$3.50","$0.25","Mar 21, 2025 at 4:20PM EDT"
"trade","KXMARMAD-25R64G23-SMC","100","Yes","38","0.00","0.00","$0.00","$0.25","Mar 21, 2025 at 4:21PM EDT"
"trade","KXMARMAD-25R64G23-SMC","20","No","61","$20.00","$19.80","+$0.20","$0.05","Mar 21, 2025 at 4:21PM EDT"
"trade","KXMARMAD-25R64G23-SMC","80","No","61","$80.00","$79.20","+$0.80","$0.20","Mar 21, 2025 at 4:21PM EDT"
"trade","KXMARMAD-25R64G23-SMC","7","Yes","38","0.00","0.00","$0.00","$0.02","Mar 21, 2025 at 4:21PM EDT"
"trade","KXMARMAD-25R64G23-SMC","7","No","60","$7.00","$6.86","+$0.14","$0.02","Mar 21, 2025 at 4:22PM EDT"
"trade","KXMARMAD-25R64G5-MISS","1","Yes","63","0.00","0.00","$0.00","$0.01","Mar 21, 2025 at 4:24PM EDT"
"trade","KXMARMAD-25R64G5-MISS","99","Yes","63","0.00","0.00","$0.00","$0.25","Mar 21, 2025 at 4:25PM EDT"
"trade","KXMARMAD-25R64G23-VAN","5","Yes","81","0.00","0.00","$0.00","$0.02","Mar 21, 2025 at 4:52PM EDT"
"trade","KXMARMAD-25R64G23-VAN","45","Yes","81","0.00","0.00","$0.00","$0.12","Mar 21, 2025 at 4:52PM EDT"
"settlement","KXMARMAD-25R64G23-VAN","50","Yes","81","0.00","$40.50","-$40.50","0.00","Mar 21, 2025 at 5:44PM EDT"
"settlement","KXMARMAD-25R64G5-MISS","100","Yes","63","$100.00","$63.00","+$37.00","0.00","Mar 21, 2025 at 6:29PM EDT"
"trade","KXMARMAD-25R64G30-TROY","3","Yes","15","0.00","0.00","$0.00","$0.01","Mar 21, 2025 at 7:50PM EDT"
"trade","KXMARMAD-25R64G30-TROY","100","Yes","16","0.00","0.00","$0.00","$0.95","Mar 21, 2025 at 7:50PM EDT"
"trade","KXMARMAD-25R64G30-TROY","97","Yes","15","0.00","0.00","$0.00","$0.25","Mar 21, 2025 at 7:50PM EDT"
"trade","KXMARMAD-25R64G20-AKR","100","Yes","6","0.00","0.00","$0.00","$0.25","Mar 21, 2025 at 8:17PM EDT"
"trade","KXMARMAD-25R64G20-AKR","100","No","93","$100.00","$99.00","+$1.00","$0.25","Mar 21, 2025 at 8:19PM EDT"
"trade","KXMARMAD-25R64G20-AKR","100","Yes","6","0.00","0.00","$0.00","$0.25","Mar 21, 2025 at 8:20PM EDT"
"trade","KXMARMAD-25R64G20-AKR","10","No","93","$10.00","$9.90","+$0.10","$0.03","Mar 21, 2025 at 8:21PM EDT"
"trade","KXMARMAD-25R64G20-AKR","90","No","93","$90.00","$89.10","+$0.90","$0.23","Mar 21, 2025 at 8:21PM EDT"
"trade","KXMARMAD-25R64G20-AKR","100","Yes","6","0.00","0.00","$0.00","$0.25","Mar 21, 2025 at 8:21PM EDT"
"trade","KXMARMAD-25R64G20-AKR","100","No","93","$100.00","$99.00","+$1.00","$0.25","Mar 21, 2025 at 8:22PM EDT"
"trade","KXMARMAD-25R64G20-AKR","5","Yes","6","0.00","0.00","$0.00","$0.02","Mar 21, 2025 at 8:22PM EDT"
"trade","KXMARMAD-25R64G20-AKR","195","Yes","6","0.00","0.00","$0.00","$0.49","Mar 21, 2025 at 8:22PM EDT"
"trade","KXMARMAD-25R64G20-AKR","100","No","93","$100.00","$99.00","+$1.00","$0.25","Mar 21, 2025 at 8:22PM EDT"
"trade","KXMARMAD-25R64G20-AKR","2","No","93","$2.00","$1.98","+$0.02","$0.01","Mar 21, 2025 at 8:22PM EDT"
"trade","KXMARMAD-25R64G20-AKR","1","No","93","$1.00","$0.99","+$0.01","$0.01","Mar 21, 2025 at 8:23PM EDT"
"trade","KXMARMAD-25R64G20-AKR","97","No","93","$97.00","$96.03","+$0.97","$0.25","Mar 21, 2025 at 8:23PM EDT"
"trade","KXMARMAD-25R64G20-AKR","70","Yes","6","0.00","0.00","$0.00","$0.18","Mar 21, 2025 at 8:23PM EDT"
"trade","KXMARMAD-25R64G20-AKR","50","No","93","$50.00","$49.50","+$0.50","$0.13","Mar 21, 2025 at 8:23PM EDT"
"trade","KXMARMAD-25R64G20-AKR","20","No","93","$20.00","$19.80","+$0.20","$0.05","Mar 21, 2025 at 8:23PM EDT"
"trade","KXMARMAD-25R64G20-AKR","100","Yes","6","0.00","0.00","$0.00","$0.25","Mar 21, 2025 at 8:24PM EDT"
"trade","KXMARMAD-25R64G20-AKR","30","Yes","6","0.00","0.00","$0.00","$0.08","Mar 21, 2025 at 8:24PM EDT"
"trade","KXMARMAD-25R64G20-AKR","25","No","93","$25.00","$24.75","+$0.25","$0.07","Mar 21, 2025 at 8:24PM EDT"
"trade","KXMARMAD-25R64G20-AKR","59","No","93","$59.00","$58.41","+$0.59","$0.15","Mar 21, 2025 at 8:24PM EDT"
"trade","KXMARMAD-25R64G20-AKR","40","No","93","$40.00","$39.60","+$0.40","$0.10","Mar 21, 2025 at 8:24PM EDT"
"trade","KXMARMAD-25R64G20-AKR","6","No","93","$6.00","$5.94","+$0.06","$0.02","Mar 21, 2025 at 8:24PM EDT"
"trade","KXMARMAD-25R64G20-AKR","99","Yes","7","0.00","0.00","$0.00","$0.25","Mar 21, 2025 at 8:25PM EDT"
"trade","KXMARMAD-25R64G20-AKR","100","Yes","7","0.00","0.00","$0.00","$0.25","Mar 21, 2025 at 8:25PM EDT"
"trade","KXMARMAD-25R64G20-AKR","100","Yes","7","0.00","0.00","$0.00","$0.25","Mar 21, 2025 at 8:25PM EDT"
"trade","KXMARMAD-25R64G20-AKR","1","Yes","7","0.00","0.00","$0.00","$0.01","Mar 21, 2025 at 8:26PM EDT"
"trade","KXMARMAD-25R64G20-AKR","180","No","91","$180.00","$176.40","+$3.60","$0.45","Mar 21, 2025 at 8:26PM EDT"
"trade","KXMARMAD-25R64G20-AKR","100","Yes","5","0.00","0.00","$0.00","$0.25","Mar 21, 2025 at 8:27PM EDT"
"trade","KXMARMAD-25R64G20-AKR","100","Yes","5","0.00","0.00","$0.00","$0.25","Mar 21, 2025 at 8:27PM EDT"
"trade","KXMARMAD-25R64G20-AKR","78","No","94","$78.00","$78.78","-$0.78","$0.20","Mar 21, 2025 at 8:27PM EDT"
"trade","KXMARMAD-25R64G20-AKR","50","No","94","$50.00","$50.34","-$0.34","$0.13","Mar 21, 2025 at 8:27PM EDT"
"trade","KXMARMAD-25R64G20-AKR","55","No","94","$55.00","$54.45","+$0.55","$0.14","Mar 21, 2025 at 8:28PM EDT"
"trade","KXMARMAD-25R64G20-AKR","20","No","94","$20.00","$19.80","+$0.20","$0.05","Mar 21, 2025 at 8:28PM EDT"
"trade","KXMARMAD-25R64G20-AKR","10","No","94","$10.00","$9.90","+$0.10","$0.03","Mar 21, 2025 at 8:28PM EDT"
"trade","KXMARMAD-25R64G20-AKR","63","No","94","$63.00","$62.37","+$0.63","$0.16","Mar 21, 2025 at 8:28PM EDT"
"trade","KXMARMAD-25R64G20-AKR","44","No","94","$44.00","$43.56","+$0.44","$0.11","Mar 21, 2025 at 8:28PM EDT"
"trade","KXMARMAD-25R64G20-AKR","50","Yes","5","0.00","0.00","$0.00","$0.13","Mar 21, 2025 at 8:29PM EDT"
"trade","KXMARMAD-25R64G20-AKR","48","No","94","$48.00","$47.52","+$0.48","$0.12","Mar 21, 2025 at 8:31PM EDT"
"trade","KXMARMAD-25R64G20-AKR","2","No","94","$2.00","$1.98","+$0.02","$0.01","Mar 21, 2025 at 8:32PM EDT"
"trade","KXMARMAD-25R64G7-UNM","50","Yes","49","0.00","0.00","$0.00","$0.13","Mar 21, 2025 at 8:49PM EDT"
"trade","KXMARMAD-25R64G7-UNM","10","No","49","$10.00","$9.80","+$0.20","$0.03","Mar 21, 2025 at 8:50PM EDT"
"trade","KXMARMAD-25R64G7-UNM","1","No","49","$1.00","$0.98","+$0.02","$0.01","Mar 21, 2025 at 8:50PM EDT"
"trade","KXMARMAD-25R64G7-UNM","15","No","49","$15.00","$14.70","+$0.30","$0.04","Mar 21, 2025 at 8:50PM EDT"
"trade","KXMARMAD-25R64G7-UNM","24","No","49","$24.00","$23.52","+$0.48","$0.06","Mar 21, 2025 at 8:50PM EDT"
"trade","KXMARMAD-25R64G7-UNM","50","Yes","49","0.00","0.00","$0.00","$0.13","Mar 21, 2025 at 8:51PM EDT"
"trade","KXMARMAD-25R64G7-UNM","50","No","8","$50.00","$28.50","+$21.50","$0.13","Mar 21, 2025 at 9:25PM EDT"
"settlement","KXMARMAD-25R64G30-TROY","200","Yes","15","0.00","$31.00","-$31.00","0.00","Mar 21, 2025 at 9:26PM EDT"
"trade","KXPRESLEAVESK-25-APR","14","Yes","31","$14.00","$7.00","+$7.00","$0.21","Mar 21, 2025 at 9:32PM EDT"
"trade","KXPRESLEAVESK-25-APR","386","Yes","32","$386.00","$204.86","+$181.14","$5.88","Mar 21, 2025 at 9:32PM EDT"
"trade","KXMARMAD-25R64G10-CONN","50","Yes","77","0.00","0.00","$0.00","$0.13","Mar 21, 2025 at 9:49PM EDT"
"trade","KXMARMAD-25R64G10-CONN","19","Yes","76","0.00","0.00","$0.00","$0.05","Mar 21, 2025 at 10:00PM EDT"
"trade","KXMARMAD-25R64G10-CONN","31","Yes","76","0.00","0.00","$0.00","$0.08","Mar 21, 2025 at 10:01PM EDT"
"trade","KXMARMAD-25R64G29-ILL","15","Yes","74","0.00","0.00","$0.00","$0.04","Mar 21, 2025 at 10:11PM EDT"
"trade","KXMARMAD-25R64G29-ILL","1","Yes","74","0.00","0.00","$0.00","$0.01","Mar 21, 2025 at 10:11PM EDT"
"trade","KXMARMAD-25R64G29-ILL","34","Yes","74","0.00","0.00","$0.00","$0.09","Mar 21, 2025 at 10:11PM EDT"
"trade","KXMARMAD-25R64G8-MSU","3","No","6","0.00","0.00","$0.00","$0.01","Mar 21, 2025 at 10:27PM EDT"
"trade","KXMARMAD-25R64G8-MSU","5","No","6","0.00","0.00","$0.00","$0.02","Mar 21, 2025 at 10:27PM EDT"
"trade","KXMARMAD-25R64G8-MSU","3","No","6","0.00","0.00","$0.00","$0.01","Mar 21, 2025 at 10:27PM EDT"
