"Title","ChordProgression","Key","RomanNumeralProgression"
"Making Whoopee","Gmaj7,G#07|Am7,D7|Dm7,G7|Cmaj7,F7|Gmaj7,Em7|Eb7,D7|G6,Em7|Am7,D7",NA,""
"Mambo Inn","Gm7,C7|Fmaj7,D7|Gm7,C7|Fmaj7,D7|Gm7,C7|Am7,D7|Gm7,C7|F6",NA,""
"Man I Love, The","Eb6|Ebm7|Gm7b5|C7b9|Fm7b5|Bb7|Eb6,Ab7|Eb6,,Fm7,Bb7",NA,""
"Manhattan","Fmaj7,D7|Gm7,C7|Fmaj7,Bb7|Am7,Ab07|Gm7|C7,Bb7#11|Am7,D7|Gm7,C7",NA,""
"Manteca","Bb7|Bb7|Bb7|Bb7|Bb7|Bb7|Bb7,Ab7|Db7,,Gb7,F7",NA,""
"Maybe September","Am|Am/maj7|Bm7b5|E7b9|Am7|Am7|G7sus|G7",NA,""
"Maze, The","Em7|A7|Em7|A7|Am7|Gm7|F#m7b5|B7b9",NA,""
"Mean To Me","Fmaj7,F#07|Gm7,C7|Fmaj7,,Cm7,F7|Bbmaj7,Eb7|Am7,D7|Gm7,C7|F6,Dm7|G7,C7",NA,""
"Meaning Of The Blues, The","Dm,Dmaug|Dm6,D7#9|Gm7,Gm7/F|Em7b5,A7b9|Dm,Dmaug|Dm6,D7#9|Gm7|Bbm6,C7",NA,""
"Memories Of Tomorrow","Am|Am/maj7|Am7|Em7|F|C|G9sus|C",NA,""
"Memories Of You","Ebmaj7,E07|Fm7,F#07|Ebmaj7/G,Cm7|Am7b5,Abm6|Ebmaj7,D7|Db7,C7|F7,Bb7|Eb6,,Fm7,Bb7",NA,""
"Mercy Mercy Mercy","Bb7|Eb7|Bb7|Eb7|Bb7|Eb7|Bb7|Eb7",NA,""
"Midnight Blue","Fm7,Gm7|Abmaj7,Gm7|Fm7,Gm7|Abmaj7,Gm7|Fm7,Gm7|Abmaj7,Gm7|Gm7b5,C7#9|Fm7",NA,""
"Milano","Dm7,G7|Cmaj7,Am7|Dm7,G7|C7,F#7|Fmaj7,,Dm7,G7|Em7,A7b9|Dm7,G7b9|C6,A7#5",NA,""
"Miles Ahead","A7|Dm7|Dm7|G7sus|Bbmaj7|Db7|Cmaj7|Cmaj7",NA,""
"Milestones (New)","Gm7|Gm7|Gm7|Gm7|Gm7|Gm7|Gm7|Gm7",NA,""
"Milestones (Old)","Fmaj7|Bbm7,Eb7|Abmaj7|Dbm7,Gb7|Cm7|F7|Bbmaj7|G7b13",NA,""
"Mimi","Gmaj7|G6|Am7|D7|Gmaj7|G6|Am11|D7",NA,""
"Mimosa","Fm9|Bb13/F|Db7#11|C7b9|Fm9|Bb13/F|Db7#11|C7b9",NA,""
"Minoat","F7#11|Fm9,Bb7b9|Abmaj7#11|G7b13|Cm7,Baug/C#|Dm7b5,G7b13|Cm69|C7b9",NA,""
"Minor Mishap","Bbm7|C7#9,F7b9|Bbm7|C7b9b13,F7b9|Bbm7|Ebm7,Bbm7|Gm7b5|C7b9",NA,""
"Misty","Ebmaj7|Bbm7,Eb7|Abmaj7|Abm7,Db7|Ebmaj7,Cm7|Fm7,Bb7|Eb6|Fm7,Bb7",NA,""
"Moments To Remember","Gmaj7,G6|Gmaj7,G6|G,G7#5|C,Am|D7|D7|Cm,G|Cm,G",NA,""
"Mona Lisa","Eb6|Eb6|Ebmaj7,C7b9|Fm7,Bb7|Fm7|Bb7|Fm7,Bb7|Ebmaj7,Bb7",NA,""
"Monk's Dream","C7|C7|C7|C7|C7|C7|C7|C7",NA,""
"Monk's Mood","Fm7,,Bb7,C|Cmaj7|Dm7b5,G7b9#11|Dbmaj7|Bb7,A7b13|E7b9,Eb7#9|Ab7#5,G7|Dbmaj7#11",NA,""
"Moon And Sand","Dm7|G7b9|Cm7|F7b9|Bbmaj7|Gm7|Em7b5|A7",NA,""
"Moon Mist","Dm7,Dm7/C|Bm7b5,Bb7|Am7,Eb7|D7|G7sus,G7|C7sus,C7|Fmaj7,Dm7|Em7b5,A7b9",NA,""
"Moondance","Am7,Bm7/E|Am7,Bm7/E|Am7,Bm7/E|Am7,Bm7/E|Am7,Bm7/E|Am7,Bm7/E|Am7,Bm7/E|Am7,Bm7/E",NA,""
"Moonglow","Cmaj7|F7#11|G6|A7|Am7|D7|G6,Eb7|Am7,Eb7,G6,",NA,""
"Moonlight In Vermont","Am7,D7|Gmaj7,Em7|Am7,D7|Gmaj7|Bbm7,Eb7|Abmaj7,Fm7|Bbm7,Eb7|Abmaj7,Bb7b9",NA,""
"Moonlight Saving Time","Fmaj7,Ab07|Gm7,C7|F6,C7|Am7,Ab07|Gm7,F#07|C7/G,C7|G7,C7|F6,,Gm7,C7",NA,""
"Moontrane, The","Bbmaj7|Bbmaj7|Am7|Am7|Cm7,Dm7|Eb7#9,Fm7|Dmaj7#11|Dmaj7#11",NA,""
"Moose The Mooche","Bbmaj7,G7|Cm7,F7|Dm7,G7|Cm7,F7|Fm7,Bb7|Eb7,Ab7|Cm7,F7|Bb6",NA,""
"More Than You Know","C6,G7#5|Gm7,C7|Fmaj7,,Em7,A7|Dm7,Fm6|G7,Ab7#11|Dm7,G7|Em7,A7|Dm7,G7",NA,""
"Morning","Bm7,E7|Am7,D7|Bm7,E7|Am7,D7|Dm7,G7|Em7,A7|Bm7,E7|Am7",NA,""
"Mountain Greenery","C6,Am7|Dm7,G7|C6,Am7|Dm7,G7|C6|Am7,D7|Em7,A7|Dm7,G7",NA,""
"Move","Bb6|Eb7|Bb6|B07|Cm7|F7|Bb6|Bb6",NA,""
"My Baby Just Cares For Me","Amaj7|Bm7,E7|Amaj7|Bm7,E7|Amaj7|Bm7,E7|Bm7|E7",NA,""
"My Foolish Heart","Bbmaj7,Ebmaj7|Dm7,G7|Cm7|Em7(F7),A7b9|Bbmaj7,D7#9|Gm7,(Db7)|Cm7|Cm7,F7b9",NA,""
"My Funny Valentine","Cm6|Dm7b5(Cm/maj7/B),G7b9|Cm7(Cm7/Bb)|F7(Cm6/A)|Abmaj7|Fm7|Dm7b5|G7b9",NA,""
"My Heart Belongs To Daddy","Cm6|Cm6|Cm6|Fm6|G7b9|Dm7b5,G7b13|Dm7b5,G7b13|Cm6",NA,""
"My Heart Stood Still","Fmaj7,Dm7|Gm7,C7|Fmaj7,F7|Bb6,Eb7|Am7,D7b13|Gm7,C7|F6,Dm7|Gm7,C7",NA,""
"My Ideal","Eb6,C9#5|Fm7|Db7,C9#5|F7|Fm7,Bb7|Dm7b5,G7b9|Cm7,F7|B7,Bb7",NA,""
"My Last Affair","Cmaj7,Am7|Dm7,G7|Cmaj7,F7|Em7,Eb07|Dm7,G7|D7,G7|C6,Eb7|Abmaj7,G7",NA,""
"My Little Suede Shoes","Fm7,Bb7|Ebmaj7|Fm7,Bb7|Ebmaj7|Fm7,Bb7|Gm7,C7|Fm7,Bb7|Ebmaj7",NA,""
"My Melancholy Baby","Bbmaj7|Bbmaj7|Ab7|G7|Cm7|G9#5|Cm7|G9#5",NA,""
"My Old Flame","Fmaj7|Am7b5,D7b9|Gm7|Bbm7,Eb7|Fmaj7,,Bbm7,Eb7|Abmaj7,Db7|Gm7,C7|F6",NA,""
"My One And Only Love","Cmaj7,Am7|Dm7,,G7,G#0|Am7,Fmaj7|Em7,A7|Dm7,,G7(Bm7b5),G#0(E7)|Am7,D7|Dm7,G7|C6,G7",NA,""
"My Romance","Cmaj7,Fmaj7|Em7,Eb07|Dm7,G7|Cmaj7,E7|Am7,E7|Am7,A7|Dm7,G7|Cmaj7,C7",NA,""
"Nancy (With The Laughing Face)","Cm6|Dm7b5,G7b9|Cm6|F7,Bb7|Ebmaj7,Cm7|Fm7,,Dm7b5,G7|Cm7,F7|Bb7sus,C7b9",NA,""
"Nardis","Am7|Fmaj7|Am7|Fmaj7|Dm7|G7|Cmaj7|Fmaj7",NA,""
"Nascimento","Bmaj7|Bmaj7|Fm7b5|Bb7|Ebm7|Ebm7/Db|Cm7b5|F7",NA,""
"Nature Boy","Dm|Em7b5,A7b9|Dm|Em7b5,A7b9|Dm,Dm/maj7|Dm7,Dm6|Gm6,Dm|Em7b5",NA,""
"Never Let Me Go","Gm7|C7sus,C7b13|Fm7|Bb7sus,Bb7|Ebmaj7|D7sus,D7|Dbmaj7|C7sus,C7",NA,""
"Nevertheless","Bb6|Db07|Cm6,F7|Dm7b5,G7b13|Cm7,G7|C7,F7|Bbmaj7,Gm7|Cm7,F7",NA,""
"Nice 'n Easy","Am7|Am/maj7/G#|Am/G,Fmaj7|Em7|Em7b5|A7#9|Ab7#11|Dm7/G,G7",NA,""
"Nice Work If You Can Get It","Em7|C7|Em7|A7b13|Dm|Em7b5,A7b9|Am7|D7#5",NA,""
"Night We Called It A Day, The","Am7b5,D7b9|Gmaj7|F#m7b5,B7b9|Em7,Em7/D|C#7(Em7),C7(A7)|Bm7,Bb7|Am7,Ab7#11|Gmaj7",NA,""
"No Moe","Bbmaj7,G7|Cm7,F7|Dm7,G7|Cm7,F7|Fm7,Bb7|Eb7,Ab7|Cm7,F7|Bb6",NA,""
"No Moon At All","Dm6|A7b9/C#|D7/C|G6/B|Em7b5/Bb|Dm/A,,Bb7,A7|Dm6|Bb7,A7b9",NA,""
"Nobody Else But Me","Cmaj7,F7|Em7,A7|Dm7|G7|Dm7,G7|C#m7,F#7|Bmaj7|F#m7(F7#11),B7",NA,""
"Nutty","Bbmaj7,B07|Cm7,C#07|Bbmaj7/D,,Cm7,F7|F7|Bbmaj7,B07|Cm7,F7|Bbmaj7,,F7,Bb|Bbmaj7",NA,""
"O Grande Amor","Dm7|G7|Cmaj7|Fmaj7|Bbmaj7|Bbmaj7|Bm7b5|E7b9",NA,""
"Off Minor","Gm6|Db7,Gb7|Bm7,Bb7|Ebmaj7,D7|Gm6|Bb13#11|D13#11|D13#11",NA,""
"Oh, Lady Be Good","Gmaj7|C7|Gmaj7,C7|Bm7,E7|Am7|D7|G6,Em7|Am7,D7",NA,""
"Oh! Look At Me Now","Eb7,Bb7|Eb7|Abmaj7|Abm7,Db7|Ebmaj7,Db7|C7,F7,F7,Bb7|Ebmaj7|Ebmaj7",NA,""
"Ol' Man River","Ebmaj7,Fm7|Gm7,Abmaj7|Gm7,Fm7|Eb6,F7|Ebmaj7,Cm7|Fm7,Bb7|Eb6|Fm7,Bb7",NA,""
"Old Cape Cod","Eb6|Bbm7,Eb7|Abmaj7|Db7|Ebmaj7,C7|F7,Bb7|Eb6|Fm7,Bb7",NA,""
"Old Folks","Em7b5,A7b13|Dm7,Db7,Cm7,F7|Bbmaj7,Eb7|Am7b5,D7b9|Gm7,C7|Am7b5,D7b9|G7,C7|F6",NA,""
"Oleo","Bbmaj7,G7|Cm7,F7|Dm7,G7|Cm7,F7|Fm7,Bb7|Eb7,Ab7|Cm7,F7|Bb6",NA,""
"Oliloqui Valley","F7sus|F7sus|F7sus|F7sus|Eb7sus|Eb7sus|Eb7sus|Eb7sus",NA,""
"On A Misty Night","Ebmaj7,Gm7|Cm7,,Gm7,Gbm7|Fm7|Bb7|Abm7|Db7#11,Bb7|Eb6,C7|Fm7,Bb7",NA,""
"On A Slow Boat To China","Bbmaj7|G7/B|Cm7|A7/C#|Bbmaj7/D|D7b9|Ebmaj7|Dm7b5,G7b9",NA,""
"On Green Dolphin Street","Fm7|Bb7alt|Ebmaj7|Ebmaj7|Abm7|Db7alt|Gbmaj7|Fm7,Bb7",NA,""
"On The Sunny Side Of The Street","Gm7|C7|Fmaj7|Fmaj7|Am7|D7|Dm7|G7",NA,""
"Once In A While","Ebmaj7,Ab7|Ebmaj7|Gm7,D7b13|Gm7,C7|Fm7,C7|Fm7,Bb7|Gm7,C7|Fm7,Bb7",NA,""
"One By One","Am7b5,D7b13|Gm7,,(Fm7),(Bb7)|Cm7(Eb),F7(Cm7)|Bbmaj7|A7#9,Ab7|Gm7,Bb7/F|Em7b5,D7b13|Gm7",NA,""
"One Foot In The Gutter","F7|F7|Bb7|B07|F,D7|Gm7,C7|F,Bb|F,C7",NA,""
"Only Trust Your Heart","Fmaj7#11|B7#9|Em7|Am7|Dm7|G7|Bb7#11|A7",NA,""
"Opener, The","Cmaj7,C7|Bm7b5,E7alt|Am7,Ab07|Gm7,C7|Fmaj7|Bm7b5,E7alt|Am7,D7|Gm9,C7alt",NA,""
"Orange Colored Sky","Bb6,B07|Cm7,C#07|Bb/D,Ab7#11|G9|Cm7,C#07|Bb/D,G7b13|Cm7,F7|Bbmaj7",NA,""
"Ornithology","Gmaj7|Gmaj7|Gm7|C7|Fmaj7|Fmaj7|Fm7|Bb7",NA,""
"Our Delight","Bb7|A7|Abmaj7|F7|Bb7|Bbm7,Eb7|Ab6|Cm7,F7",NA,""
"Our Love is Here to Stay","G7|Gm7,C7|F6,Bb7|Am7,D7|G7|Gm7,C7|Eb7,D7|Bm7,E7",NA,""
"Out Of Nowhere","Gmaj7|Gmaj7|Bbm7|Eb7|Gmaj7|Gmaj7|Bm7|E7b9",NA,""
"Over The Rainbow (Somewhere)","Eb6,Cm7|Gm7,Ebmaj7|Abmaj7,A07(Bb7sus)|Gm7,C7|Fm7,Db7|Gm7,C7b9|F7,Bb7|Eb6,Bb7",NA,""
"P.S. I Love You","Eb6|Gm7,C7|Fm7,Bb7|Gm7b5,C7b9|F7|Fm7,Bb7|Eb6,Db7|Eb6",NA,""
"Palo Alto","Fmaj7|Fmaj7|D7b9|D7b9|Gm7|C7|Fmaj7|Cm7,F7",NA,""
"Pannonica","Cmaj7|Ebm7,Ab7|Dm7,Bb7|Ebmaj7,A7#11|Ab7,Db7|Gbmaj7,F7#5|Ebm7,,Ab7,G7|Dbmaj7",NA,""
"Parisian Thoroughfare","Fmaj7|Gm7,C7|Am7,D7|Gm7,C7|Fmaj7|Gm7,C7|Fmaj7|Gm7,C7",NA,""
"Passion Dance","F7sus|F7sus|F7sus|F7sus|F7sus|F7sus|F7sus|F7sus",NA,""
"Passion Flower","F#9b5|F9b5|F#9b5|F9b5|E7b13,Eb13|D9,D7b9|G69|G69",NA,""
"Passport","Bbmaj7,G7|Cm7,F7|Dm7,G7|Cm7,F7|Fm7,Bb7|Eb7,Ab7|Cm7,F7|Bb6",NA,""
"Peacocks, The","Bbm,Bbm/maj7|Bbm7,Bbm6|Bbm,F#m7|Fm7,Bb13|Ebm7|Ebm7|C7#9,F7#9|Bbm,F7b9",NA,""
"Penthouse Serenade","Fmaj7|Ab07|Gm7|C7|Gm7,C7|Gm7,C7|F6,Eb7|F6",NA,""
"People","Bbmaj7,Gm7|Cm7,F7|Bbmaj7,Gm7|Cm7,F7b9|Eb/Bb|Bbmaj7|Am7|D7",NA,""
"Perdido","Cm7|F7|Bb6|Dm7,G7|Cm7|F7|Bb6|Dm7,G7",NA,""
"Perhaps, Perhaps, Perhaps","Em7|Am7,B7|Em7|Am7,B7|Em7|C7,B7|Em7,Am7|Em7",NA,""
"Petit Fleur","D7b9|D7b9|Gm|Gm|A7b9|A7b9|D7b9|D7b9",NA,""
"Phase Dance","Bm9|Bm9|Bm9|Bm9|Bbmaj7#11|Bbmaj7#11|Bbmaj7#11|Bbmaj7#11",NA,""
"Pick Yourself Up","Gm7,C7|Fmaj7,Bbmaj7|Em7b5,A7b9|Dm7,G7|C7sus,C7|Am7,D7|Gm7,C7|F6",NA,""
"Played Twice","Cmaj7|Db7|Db7|A7|Cmaj7|Db7|Gm7|C7",NA,""
"Poinciana","D6|D6|Am/D|Am/D|Gm7|Em7b5,A7b9|D6|D6",NA,""
"Polkadots And Moonbeams","Fmaj7,Dm7|Gm7,C7|Fmaj7,Dm7|Gm7,,Em7b5,A7|Dm7,Db7|F/C,,Am7,Abm7|Gm7,C7|F6,,Gm7,C7",NA,""
"Poor Butterfly","Bbm7|Eb7sus,Eb7b9|Ab07|Abmaj7|C7#5#9|C7#5#9|F7|Cm7,F7",NA,""
"Popsicle Toes","Am,Am7/G|F#m7b5,F7#11|Am,Am/G|F#m7b5,F7#11|Am,Am7/G|F#m7b5,F7#11|E7#9|E7#9",NA,""
"Portrait Of Jennie","Ebmaj7|Bbm7,Eb7|Abmaj7|Abm7,Db7|Gm7,Cm7|Fm7,Bb7|Fm7,Bb7b9|Eb6,,Fm7,Bb7",NA,""
"Prelude To A Kiss","Emaj7,C#m7|F#m7b5,B7|G#m7,G07|F#m7,B7|Emaj7,C#m7|F#m7b5,B7|E7,A7|Dm7,Ebm7,Em7,Eb7",NA,""
"Pretend","Cmaj7|Cmaj7|Dm7|Dm7|G7|G7|Cmaj7|Dm7,G7sus",NA,""
"Prism","Gm|Gmb6|Em7b5|C#m7b5,F#7b9|Bm7,Dm7|A13b9,Gm|Dm7|D7b9",NA,""
"Progression","Fmaj7|Gbmaj7|Db7#5|D7,Db7|Gbmaj7#11|C7|G7|C7",NA,""
"Put On A Happy Face","Eb6,Abmaj7|Gm7,C7|Fm7,Bb7|Fm7,Bb7|Eb6,Abmaj7|Gm7,C7|Fm7,Bb7|Bbm7,Eb7",NA,""
"Puttin' On The Ritz","Fm|Fm|Fm|Fm|C7b9|C7b9|Fm,Fm/Eb|Db7,C7",NA,""
"Questar","Bbmaj7|Bb07,Bbmaj7|Bb07,Bbmaj7|Ebmaj7/Bb|F/Bb,Ebmaj7/Bb|Bmaj7/Bb|C/Bb,Bmaj7/Bb|Bbmaj7",NA,""
"Quiet Now","Am7,Fmaj7|E7,Am7|Dm7,G7,Cmaj7,|Bb7#11,A7#5|Dm7b5/Ab,,G7,E7|Am7,D7#11|Ebmaj7,Abmaj7|Db9",NA,""
"Raincheck","Fmaj7,Gm7|G#07,F/A|Bb6,Am7|G7,C7|Fmaj7,Gm7|G#07,F/A|Bb6,F6|Gm7,C7",NA,""
"Reflections","Ab,Gb7,F7,E7|Bbm7,Eb7b9|Abmaj7,,Bbm7,Bm7|Cm7,F7b9|Gm7b5|Bbm7,Eb7b9|Abmaj7,Gb7|Abmaj7",NA,""
"Remember","Bbmaj7|Eb7|Dm7|G7|Gm7|C7b9|Fmaj7|Cm7,F7",NA,""
"Rhythm-a-ning","Bb,G7|Cm7,F7|Bb,G7|Cm7,F7|Bb7,Bb7/D|Eb7,E07|Bb7/F,G7|Cm7,F7",NA,""
"Road Song","Gm7|Gm7|Am7b5|D7b9|Gm7,Gm7/F|Ebmaj7|Em7b5,Cm7|D7#9,Gm7",NA,""
"Robbin's Nest","C6|C6|Ab7|Ab7|Em7,Eb07|Dm7,G7|C6|Dm7,G7",NA,""
"Rockin' Chair","Ebmaj7|Bbm7,Eb7|Abmaj7|Db7|Gm7,C7|Fm7,Bb7|Eb6|Fm7,Bb7",NA,""
"Room 608","Bbmaj7,G7|Cm7,F7|Dm7,G7|Cm7,F7|Fm7,Bb7|Eb6,E07|Bbmaj7,G7|Cm7,F7",NA,""
"Rose Room","Bb7|Eb7|Ab6|Ab6|Ebm7|Ab7|Db6|Db6",NA,""
"Rosetta","F6|E7|Eb7|D7|G7|C7|Am7,D7|Gm7,C7",NA,""
"Ruby, My Dear","Fm9,Bb7b9|Ebmaj7,(Fm7),(F#m7),(Gm7),(Ab6),(A6)|Gm7,C7b9|Fmaj7,(Gm7),(Abm7),(Am7)|Bbm7,Eb7b9|Abmaj7,(Bbm7),(Bm7),(Cm7)|Bbm7,E13|Gb69,B7b9,Bb7b9,Bb7b9",NA,""
"S.O.S.","Cm7|Bbm7,Eb7|Abmaj7|Dm7b5,G7#5|Cm7,Eb7|Abmaj7,G7#5|Cmaj7|G7",NA,""
"S' Wonderful","Ebmaj7|Ebmaj7|Gb07|Gb07|Fm7|Bb7|Eb6,Cm7|Fm7,Bb7",NA,""
"S'posin'","Bbmaj7|Bbmaj7|Cm7|F7|Bbmaj7|Bbmaj7|Cm7|F7",NA,""
"Salt Peanuts","D7|D7|G7|G7|C7|C7|F7|F7",NA,""
"San Francisco Holiday","Am7b5,D7b9|Gm7b5,C7b9|Bb7#5#9|Fm9,Bb13b9|Am7b5,D7b9|Gm7b5,C7b9|Bb7#5#9,(Db69)|B7/D#",NA,""
"Satellite","Ebmaj7|Am7b5,D7b9|Gm7|Am7b5,D7b9|Gmaj7|Fm7,Bb7|Ebmaj7,Gb7|Bmaj7,D7",NA,""
"Satin Doll","Gm7,C7|Gm7,C7|Fmaj7|Fmaj7|Am7,D7|Am7,D7|G7|G7",NA,""
"Save Your Love For Me","Em7,D/F#|Gmaj7,A7sus|Gm7,G7sus|Bbmaj7,Eb7#11|Em7|Em7,A13b9|D,Am7|D6,B7#5#9",NA,""
"Say It (Over And Over Again)","Ebmaj7,C7|Fm7,Bb7|Eb6,C7#9|Fm7,,Dm7b5,G7|Cm7,F7|Fm7,Bb7|Ebmaj7|Fm7,Bb7",NA,""
"Say the Brother's Name","Bbmaj7|Bbmaj7|Am7|Ebmaj7#11|Dm,Dm/C|Bbmaj7,F/A|Abmaj7|Abmaj7,Ab7",NA,""
"Scotch And Soda","Abmaj7|Db7|Eb6|Gm7,C7|F7|Fm7,Bb7|Eb6|Eb6(Gm7),(C7)",NA,""
"Scrapple From The Apple","Gm7|C7|Gm7|C7|Fmaj7,F7/A|Bbmaj7,B07|Fmaj7,Gm7|Am7,D7",NA,""
"Search For Peace","Am7b5,D7b9|G13sus|Am7b5,D7b9|G13sus|Gm11,C7b9|Fm7,Bb13b9|Ebm7,Ab13b9|C#m7,E7/B",NA,""
"Second Star To The Right, The","Eb|G7|Cm|Gm|Ab,Bb7|Eb,C7|Fm7,Bb7|Eb",NA,""
"Segment","Bbm6|Cm7b5,F7b9|Bbm6|Cm7b5,F7b9|Bbm6|Cm7b5,F7b9|Bbm6|Cm7b5,F7b9",NA,""
"Sentimental Journey","C6|C6|C6,(A7)|D7,G7|C6,C7|F7,F#07(Bb7)|C6,A7|D7,G7,C6,",NA,""
"September In The Rain","Ebmaj7|Bbm7,Eb7|Abmaj7|Abmaj7|Db7|Fm7,Bb7|Eb6,C7|Fm7,Bb7",NA,""
"September Song","F7|Fm7,Bb7|Cmaj7,Dm7|Em7,Am7|D7sus,D7|G7sus,G7|C6|C6",NA,""
"Serenade To A Cuckoo","Fm7|Gm7b5,C7|Fm7|Gm7b5,C7|Fm7|Gm7b5,C7|Fm7|F7",NA,""
"Serpent's Tooth","Bbmaj7,B07|Cm7,C#07|Dm7,D7#5|Ebmaj7,Ab7#11|Bbmaj7,E9|Ebmaj7,Ab7|Bbmaj7|Bb6",NA,""
"Seven Come Eleven","Ab6(Ab),(Fm7)|Ab6(Bbm7),(Eb7)|Ab6(Cm7),(F7)|Ab6(Bbm7),(Eb7)|Ab6(Ab),(Ab7/C)|Ab6(Db),(D07)|Ab6(Bbm7/Eb),(Eb7)|Ab6(Ab)",NA,""
"Seven Steps To Heaven","Fmaj7,Bb7|Em7b5,A7|Dm7,Ab7|G7|Gm7|C7|Eb6,E6|F6",NA,""
"Shaw 'Nuff","Bbmaj7,G7|Cm7,F7|Dm7,G7|Cm7,F7|Fm7,Bb7|Eb7,Ab7|Cm7,F7|Bb6",NA,""
"She's Funny That Way","Ebmaj7,Bb7#5|Ebmaj7,Bb7#5|Ebmaj7,D7#5|Gm7b5,C7|F7|Db7|Eb6,Bb7|Eb6",NA,""
"Shine","Ebmaj7|Ebmaj7|Fm7|Bb7|Ebmaj7|Ebmaj7|Fm7|Bb7",NA,""
"Shiny Stockings","Gm7|C7|Gm7|C7|Fmaj7|Bb7|Am7|Ab07",NA,""
"Silver's Serenade","Em9|Em9|Bbm9|Bbm9|Am9|Am9|Ebm9|Ebm9",NA,""
"Since I Fell For You","Ab7|Db7|Eb7|Bbm7,Eb7|Ab7|Db7|Ebmaj7,C7b9|Fm7,Bb7",NA,""
"Skippy","D7,G7|C7,F7|Bb7,A7|Ab7,Db7|Gb7,F7|Bb7,A7|Ab7|G7",NA,""
"Skylark","Ebmaj7,Fm7|Ebmaj7/G,Abmaj7|Ebmaj7,A7#11|Abmaj7,,Gm7,C7|F7|Fm7,Bb7|Eb6,Bb7#9|Eb6,Bb7",NA,""
"Slipped Disc","Bb7,Eb7|Abmaj7,B07|Bbm7,Eb7|Ab6,F7|Bb7,Eb7|Abmaj7,B07|Bbm7,Eb7|Ab6",NA,""
"Slow Hot Wind","Am9|Am9|Am9|Am9|Dm9|Dm9|Am9|Am9",NA,""
"Smile","Fmaj7|Fmaj7|Fmaj7|Fmaj7|Fmaj7|Ab07|Gm7|D7",NA,""
"Smoke Gets In Your Eyes","Ebmaj7,Gb07|Fm7,Bb7|Bbm7,Eb7|Abmaj7,A07|Gm7,Cm7|Fm7,Bb7|Eb6,Cm7|Fm7,Bb7",NA,""
"Só Danço Samba","C6|F7|D7|D7|Dm7|G7|C6|F7",NA,""
"So Nice (Summer Samba)","Fmaj7|Fmaj7|Bm7|E7b13|Bbmaj7|Bbmaj7|Eb7|Eb7",NA,""
"So What","Dm11|Dm11|Dm11|Dm11|Dm11|Dm11|Dm11|Dm11",NA,""
"Social Call","B7#11,Bb7b13|Ebm7|Ebm7,Ab7alt|Dbmaj7|Fm7,Em7|Ebm7|Eb7,D7|Dbmaj7",NA,""
"Softly, As In A Morning Sunrise","Cm7|Dm7b5,G7b9|Cm7|Dm7b5,G7b9|Cm7|Dm7b5,G7b9|Cm7|Dm7b5,G7b9",NA,""
"Solitude","Ab6|A07|Eb6/Bb|Eb7|Ab6|A07|Eb6/Bb,C7b9|Fm7,Bb7",NA,""
"Some Other Spring","Cmaj7,G7#5|Em7b5,A7b9|Dm7,Dm7b5|Ab7,G7|C7,B7,Bb7,Bb7|Am7b5,Ab7|C6/G,,D7,G7|C6,Dm7,G7,",NA,""
"Some Other Time","Cmaj7,G7sus|Cmaj7,G7sus|Cmaj7,G7sus|C,C/G,F#m7b5,Fm7|Em7,A7|Dm7,G7sus|Cmaj7,G7sus|Cmaj7,G7sus",NA,""
"Somebody Loves Me","Fmaj7|Gm7,C7|Fmaj7|Bb7|Am7,D7|Gm7,C7|F6|Gm7,C7",NA,""
"Someday You'll Be Sorry","Eb|Eb|D7|D7|Eb|Eb|C7|C7",NA,""
"Someone To Watch Over Me","Abmaj7|Abmaj7|Abm6|Eb6/G|Am7b5,D7b9|G7b13|C7|Fm7,Bb7",NA,""
"Sometimes I'm Happy","F6,D7|Gm7,C7|Am7,D7|Gm7,C7|F6,D7|Gm7,C7|Am7,D7|Gm7,C7",NA,""
"Somewhere","Bb,Bb7|Eb7,Ab|Fm7,Bb7|Eb7,Ab|Bb,Bb7|Gm,Cm|Ab,Db|Bbm,Gb",NA,""
"Song For My Father","Fm7|Fm7|Eb7|Eb7|Db7|C7sus|Fm7|Fm7",NA,""
"Soon","Ebmaj7|Bbm7,Eb7|Abmaj7|Gm7b5,C7#9|Fm7|Am7b5(Dm7b5),D7b13(G7b9)|Gm7(Cm7),Cm7|Fm7,Bb7",NA,""
"Sophisticated Lady","Gmaj7,Em7|Am7,D7|Bm7,E7b9|Am7,D7b9|Gmaj7,Em7|Am7,D7|Gmaj7,Cm7|Bbm7,,Cm7b5,F7",NA,""
"Soul Eyes","Abmaj7|Am7b5,D7b9|Gmaj7|Abm7,Db7|Gbmaj7|Fm7,Bb7|Ebmaj7|Dm7b5,G7b9",NA,""
"Soultrane","Ebmaj7|Gm7b5,C7b9|Fm7|Db7|Abm7,,Db7,D0|Ebmaj7,,G7,C7|F7,Bb7|Eb6,Fm7/Bb",NA,""
"Sound Lee","Fm7|Bb7|Fm7|E7|Ebmaj7|Abmaj7#11|Gm7|E7",NA,""
"Spring Is Here","Ab07|Ab6|Ab07|Ab6|Cm7b5,F7b9|Bbm7|Cm7,F7|Bbm7,Eb7",NA,""
"Stairway To The Stars","C6,G7#5|Gm7,C7|Fmaj7|Bb7#11|Am7,D7|Dm7,G7|C6,Am7|D7,G7",NA,""
