"Title","ChordProgression","Key","RomanNumeralProgression"
"Beautiful Love","Em7b5|A7b9|Dm|Dm(D7)|Gm7|C7|Fmaj7|Em7b5,A7b9",NA,""
"Beauty And The Beast","Am7|B7#5#9,E7#9|Am7|Gm7,C7#9|Fm7|Ebm7,Ab13|Dbmaj9|C7alt",NA,""
"Bein' Green","Bbmaj7|A7#5|Dm7b5/Ab|G7sus,G7b9|Cm7|F7sus,F7|Bb6|Cm7,F7","Bb","Imaj7|VII7#5|IIIm7b5/#VI/♭VII|VI7sus,VI7b9|IIm7|V7sus,V7|I6|IIm7,V7"
"Bernie's Tune","Dm7|Dm7|Bb7#11|Bb7#11|Em7b5|A7b9|Dm7|Dm7(Em7b5),(A7b9)","D-","Im7|Im7|#V/♭VI7#11|#V/♭VI7#11|IIm7b5|V7b9|Im7|Im7(IIm7b5),NANA(NANA)"
"Bess You Is My Woman","Bb6,Gm7|Cm7,F7#9|Bbmaj7,Bb7|Ebmaj7,Ab7|Gm7,Gm7/F|Em7b5,Eb7|Dm7,Ab7|Dbmaj7,F7","Bb","I6,VIm7|IIm7,V7#9|Imaj7,I7|IVmaj7,#VI/♭VII7|VIm7,VIm7/V|#IV/♭Vm7b5,IV7|IIIm7,#VI/♭VII7|#II/♭IIImaj7,V7"
"Best Is Yet To Come (Page 2), The","Amaj7,A7|A6,,Aaug,A|F#7|F#7|B7|E7|A6|A6","A","Imaj7,I7|I6,NANA,Iaug,I|VI7|VI7|II7|V7|I6|I6"
"Better Days Ahead","E/F#,B69|G/A|Dmaj9,Ab9#11|Gmaj7|Em7,F#m7|Bm7,,Am7,D7|D7,Abm7,Db7b9,|Gbmaj7",NA,""
"Between The Devil And The Deep Blue Sea","Fmaj7|Gm7,C7|Fmaj7|Gm7,C7|Cm7,F7|Bbmaj7,Eb7|Gm7,C7|F6,C7","F","Imaj7|IIm7,V7|Imaj7|IIm7,V7|Vm7,I7|IVmaj7,#VI/♭VII7|IIm7,V7|I6,V7"
"Bewitched","Cmaj7,Am7(C#07)|Dm7,G7|Cmaj7(Cmaj7/E),C7#5(E7#5)|Fmaj7,F#07(Bb7#11)|C6/G(C6),Am7(Eb07)|Dm7,G7|C6,Am7|Dm7,G7","C","Imaj7,VIm7(#I/♭II07)|IIm7,V7|Imaj7(Cmaj7/E),I7#5(III7#5)|IVmaj7,#IV/♭V07(#VI/♭VII7#11)|I6/G(C6),VIm7(#II/♭III07)|IIm7,V7|I6,VIm7|IIm7,V7"
"Bidin' My Time","Ebmaj7,C7b13|Fm7,Bb7|Ebmaj7,C7b13|Fm7,Bb7|Eb6,C7|Fm7,Abm7|Ebmaj7/Bb,Fm7,Bb7,|Eb6","Eb","Imaj7,VI7b13|IIm7,V7|Imaj7,VI7b13|IIm7,V7|I6,VI7|IIm7,IVm7|Imaj7/V,IIm7,V7,NANA|I6"
"Big Nick","Gmaj7,Em7|Am7,D7|Gmaj7,Em7|Am7,D7|G,G7/B|C,C#07|G/D,E7|Am7,D7",NA,""
"Bill Bailey, Won't You Please Come Home","G|G|G|G|G|G,Ab07|Am7|D7","G","I|I|I|I|I|I,#I/♭II07|IIm7|V7"
"Billy Boy","Fmaj7|Fm6|Cmaj7|Bm7b5,E7b9|Am7|D7|Dm7|G7",NA,""
"Birth Of The Blues, The","Cmaj7,C#07|Dm7,G7|Cmaj7,E7|Fmaj7,F#07|G7|Dm7,G7|C6,Eb07|Dm7,G7","C","Imaj7,#I/♭II07|IIm7,V7|Imaj7,III7|IVmaj7,#IV/♭V07|V7|IIm7,V7|I6,#II/♭III07|IIm7,V7"
"Black And Blue","Am7|Dm7|Am7|D7,Db7|C6,A7|Dm7,G7|C6,F7|C6,,(Bm7b5),(E7)","A-","Im7|IVm7|Im7|IV7,III7|#II/♭III6,I7|IVm7,#VI/♭VII7|#II/♭III6,#V/♭VI7|#II/♭III6,NANA,NANA(NANA),NANA(NANA)"
"Black Butterfly","Gm7,C7|F6|Fmaj7,,Em7b5,Eb7|D7,,Eb7,D7|G7,Gb7|F7,Bb7|Eb7,D7,Db7,C7|F6,F#07",NA,""
"Black Nile","Dm6|Eb7|Dm6|Cm7,F7|Bbmaj7|A7b13|Dm6|Eb7",NA,""
"Blackberry Winter","Fmaj7,Am7|Dm7,,Gm7,C7|Fmaj7,Gm7|Am7,Bbmaj7|Am7,Dm7|Gm7,C7|F6|Gm7,C7","F","Imaj7,IIIm7|VIm7,NANA,IIm7,V7|Imaj7,IIm7|IIIm7,IVmaj7|IIIm7,VIm7|IIm7,V7|I6|IIm7,V7"
"Blame It On My Youth","Ebmaj7,Fm7|Gm7,Cm7|Fm7,E07|Fm7,Bb7|Fm7,E07|Fm7,Bb7|Gm7,,Fm7,Bb7|Ebmaj7,Eb7","Eb","Imaj7,IIm7|IIIm7,VIm7|IIm7,#I/♭II07|IIm7,V7|IIm7,#I/♭II07|IIm7,V7|IIIm7,NANA,IIm7,V7|Imaj7,I7"
"Blood Count","F7#11|Bb7#9|Eb7#9#11|Bbm7,Eb7|Dm|Dmaug|Dm6|Am7,D7",NA,""
"Blue Champagne","F6,Ab07|Gm7,C7|F6,Dm7|Db7,C7|Fmaj7,Ab07|Gm7,C7|F6|Gm7,C7","F","I6,#II/♭III07|IIm7,V7|I6,VIm7|#V/♭VI7,V7|Imaj7,#II/♭III07|IIm7,V7|I6|IIm7,V7"
"Blue Lou","Cm7b5|F7|Cm7b5|F7|Bbmaj7|Ebmaj7|C7,F7|Bbmaj7","Bb","IIm7b5|V7|IIm7b5|V7|Imaj7|IVmaj7|II7,V7|Imaj7"
"Blue Moon","Fm7,Bb7|Eb6,Cm7|Fm7,Bb7|Eb6,A7#11|Abm7,Db7|Gbmaj7|Bb/F,F7|Fm7,Bb7","Eb","IIm7,V7|I6,VIm7|IIm7,V7|I6,#IV/♭V7#11|IVm7,#VI/♭VII7|#II/♭IIImaj7|V/II,II7|IIm7,V7"
"Blue Skies","Am|Am/maj7/G#|Am7/G|Am6/F#|Cmaj7,A7|Dm7,G7|C6|Bm7b5,E7b9","A-","Im|Im/maj7|Im7/#VI/♭VII|Im6/VI|#II/♭IIImaj7,I7|IVm7,#VI/♭VII7|#II/♭III6|IIm7b5,V7b9"
"Blue Turning Grey Over You","Bb6|Em7b5,A7|Dm7b5|G7|C7|F7|Bb6,Ebm7|Bb6,F7",NA,""
"Blueberry Hill","Ab|Ab|Eb|Eb|Bb7|Bb7|Eb,Db7|Eb,(Eb7)","Bb","#VI/♭VII|#VI/♭VII|IV|IV|I7|I7|IV,#II/♭III7|IV,NANA(NANA)"
"Body And Soul","Dmaj7,Em7|Dmaj7/F#,,Gm7,C7|F#m7,Bm7,Em7,A7|Dmaj7|Dm7,G7|Em7,Eb07|Dm7,G7|C7,B7,Bb7,",NA,""
"Bohemia After Dark","Gm7|Am7b5,D7b9|Gm7|Am7b5,D7b9|Gm7|Am7b5,D7b9|Gm7|Gm7","G-","Im7|IIm7b5,V7b9|Im7|IIm7b5,V7b9|Im7|IIm7b5,V7b9|Im7|Im7"
"Boo Boo's Birthday","Cmaj7|B7|E7b9|E7b9|F7#11,E7#11|Eb7#11,D7#11|Dbmaj7#11|Db7",NA,""
"Boplicity","Gm7,Fmaj7|Gm7,C7|Fmaj7|Cm7,F7#5|Bbmaj7|Gm7/C|Gm7/C,C7sus|Fmaj7#11",NA,""
